field_1,id,latitude,longitude,place_town,place_coun,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
"86","67182029",47.702300132399998,-122.309264892499996,,King,86.035636901855469,59.672355651855469,82.875793457031250,,,,,,,,,
"87","67207257",46.724891669999998,-117.013122220000000,,Latah,,,,,,,,,,,,
"88","67542612",47.625246666700001,-122.299796666700004,,King,88.449539184570327,62.730903625488281,83.700027465820327,,,,,,,,,
"89","67542762",47.635475000000000,-122.306763333299997,,King,88.258438110351562,59.364212036132812,83.641380310058594,,,,,,,,,
"90","67548524",47.625646666700000,-122.324470000000005,,King,88.984451293945312,63.588890075683594,85.836174011230469,,,,,,,,,
"91","67558333",47.630791666699999,-122.316321666700006,,King,89.110168457031250,60.182407379150391,85.106101989746094,,,,,,,,,
"92","67590491",47.465893293299999,-122.459599659600002,,King,,,,,,,,,,,,
"93","67689415",47.551963333300002,-122.253533333299998,,King,89.949180603027344,60.250854492187507,83.330520629882812,,,,,,,,,
"94","67725403",48.016066996500001,-122.674091385200001,,Jefferson,,,,,,,,,,,,
"95","67737614",47.552691666699999,-122.251396666700003,,King,90.049789428710938,60.011760711669922,83.113052368164062,,,,,,,,,
"96","67810237",49.140072166700001,-123.943733333300003,,Nanaimo,,,,,,,,,,,,
"97","67839053",47.530511673100001,-121.977111666699997,,King,90.653327941894531,54.959613800048835,80.255714416503906,,,,,,,,,
"98","67931089",45.487029387800000,-122.572003304999996,Portland,Multnomah,,,,,,,31.616495132446289,14.363605499267578,28.960420608520508,,,
"99","68079062",47.466616951500001,-122.458558212400007,,King,,,,,,,,,,,,
"100","68228219",47.548765527800001,-122.283099554499998,,King,89.782142639160156,63.260269165039062,86.619476318359375,,,,,,,,,
"101","68245512",45.799630555599997,-122.681666666699996,,Clark,,,,,,,,,,,,
"102","68245540",45.799630555599997,-122.681666666699996,,Clark,,,,,,,,,,,,
"103","68262877",48.523096666699999,-123.392241666700002,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"104","68280669",47.494947000000003,-122.069072000000006,,King,90.713302612304688,54.922351837158203,80.046691894531250,,,,,,,,,
"105","68283750",47.377745769999997,-121.982518639999995,,King,89.862579345703125,55.776279449462891,81.709785461425781,,,,,,,,,
"106","68284552",47.376432866400002,-121.980487033700001,,King,89.999443054199219,55.645824432373047,80.773735046386719,,,,,,,,,
"107","68317487",46.752108333300001,-121.812322222199995,,Pierce,,,,,,,,,,,,
"108","68317528",46.749886111099997,-121.813427777800001,,Pierce,,,,,,,,,,,,
"109","68378273",47.245226455900003,-122.485871622499999,Tacoma,Pierce,,,,,,,,,,31.852586746215820,16.404613494873047,29.087993621826172
"110","68382043",49.305183410600002,-123.008781433099998,,Greater Vancouver,,,,,,,,,,,,
"111","68382155",49.305427551100003,-123.008796691699999,,Greater Vancouver,,,,,,,,,,,,
"112","68398550",48.467637188700003,-122.629471166599998,,Skagit,,,,,,,,,,,,
"113","68431464",47.617608333299998,-122.313186666700005,,King,87.439956665039062,62.688465118408203,84.728660583496094,,,,,,,,,
"114","68431725",47.465649999999997,-120.324844999999996,,Chelan,,,,,,,,,,,,
"115","68439913",49.404480000000000,-123.559974999999994,,Sunshine Coast,,,,,,,,,,,,
"116","68441859",49.405678333300003,-123.557638333300005,,Sunshine Coast,,,,,,,,,,,,
"117","68471695",49.342460632200002,-123.135772704999994,,Greater Vancouver,,,,,,,,,,,,
"118","68476388",49.389530000000001,-123.552703333300002,,Sunshine Coast,,,,,,,,,,,,
"119","68499123",47.375139160000003,-122.062132079999998,,King,89.238563537597670,55.611835479736328,81.356712341308594,,,,,,,,,
"120","68500224",47.374021859999999,-122.063535450000003,,King,89.484123229980469,56.002723693847656,81.681434631347670,,,,,,,,,
"121","68502979",47.375284020000002,-122.066368170000004,,King,89.176841735839844,55.846004486083984,81.759315490722656,,,,,,,,,
"122","68516263",49.119183333300001,-123.987695000000002,,Nanaimo,,,,,,,,,,,,
"123","68522616",49.329917907499997,-122.998817443600004,,Greater Vancouver,,,,,,,,,,,,
"124","68522813",49.330978393300001,-122.998992919700001,,Greater Vancouver,,,,,,,,,,,,
"125","68523103",49.314231872500002,-122.992446899200004,,Greater Vancouver,,,,,,,,,,,,
"126","68570665",49.139850000000003,-123.950883333299998,,Nanaimo,,,,,,,,,,,,
"127","68571073",49.143483333299997,-123.944196666699995,,Nanaimo,,,,,,,,,,,,
"128","68579641",49.316768646100002,-122.989334106399994,,Greater Vancouver,,,,,,,,,,,,
