SDOT_UNIT_,SPR_UNIT_I,SDCI_UNIT_,SPU_TREE_U,SPU_PLANT_,PEST_UNIT_,SOURCE_DEP,SCIENTIFIC,COMMON_NAM,DBH,OWNERSHIP,UNITDESC,GLOBALID,kc_am1,kc_af1,kc_pm1,lat,lon
TRE-1102124,,,,,TRE-1102124,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Private,8310 31ST AVE NW,6bbf351e-be6c-4b49-84f6-cc502fe618e4,62.036827087402344,88.843955993652330,84.988121032714844,-122.3969530000,47.6887356100
TRE-1103213,,,,,TRE-1103213,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,8927 30TH AVE NW,8366d12a-216d-49be-8f84-d649a21ede66,61.695804595947266,88.335708618164062,84.534820556640625,-122.3957870000,47.6944898800
TRE-1103232,,,,,TRE-1103232,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,8701 29TH AVE NW,0ffe5fe8-e608-4d6a-ac15-423917d888c7,62.012001037597656,88.614227294921875,84.731834411621094,-122.3939190000,47.6921165000
TRE-1103253,,,,,TRE-1103253,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"35",Private,2858 NW 90TH PL,f30c2792-0074-4754-b2b3-7ff345bea588,61.610221862792969,88.372009277343750,84.369262695312500,-122.3954370000,47.6946271300
TRE-1103274,,,,,TRE-1103274,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"22",Private,8814 28TH AVE NW,63b536a4-d71e-4714-b3b7-7ef061d1ac73,61.499031066894531,89.203659057617188,84.807556152343750,-122.3928470000,47.6933375300
TRE-1103300,,,,,TRE-1103300,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,9007 28TH AVE NW,64dbd08c-d37e-490b-b186-460c61cf080c,61.547977447509766,88.643211364746094,84.013763427734375,-122.3930540000,47.6945649600
TRE-1103301,,,,,TRE-1103301,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,9007 28TH AVE NW,8a86f259-a276-4dfa-922c-59cf872cede8,61.547977447509766,88.643211364746094,84.013763427734375,-122.3930580000,47.6945477500
TRE-1103302,,,,,TRE-1103302,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,9007 28TH AVE NW,36c8cef2-b5b8-479a-b1b7-76e91239b061,61.547977447509766,88.643211364746094,84.013763427734375,-122.3930550000,47.6945262600
TRE-1103303,,,,,TRE-1103303,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9020 26TH AVE NW,148e3954-150f-40ab-b23e-8d32cbf426df,61.831615447998047,89.282920837402330,85.520797729492188,-122.3896080000,47.6949843300
TRE-1103304,,,,,TRE-1103304,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"11",Private,9020 26TH AVE NW,32656363-00c9-412f-a443-2e858e9d79df,61.831615447998047,89.282920837402330,85.520797729492188,-122.3896030000,47.6949623600
TRE-1103305,,,,,TRE-1103305,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,9020 26TH AVE NW,d17ad108-7a6a-446a-83f8-5d24771d1ab9,61.831615447998047,89.282920837402330,85.520797729492188,-122.3896030000,47.6949495500
TRE-1103306,,,,,TRE-1103306,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9020 26TH AVE NW,267b0179-4680-45be-9fb0-258b451541cd,61.783161163330078,89.286720275878906,85.548065185546875,-122.3896000000,47.6949364500
TRE-1103307,,,,,TRE-1103307,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"11",Private,9020 26TH AVE NW,29d40f9c-ce43-48a1-8cfd-f77cc92d28ec,61.783161163330078,89.286720275878906,85.548065185546875,-122.3896010000,47.6949203300
TRE-1103330,,,,,TRE-1103330,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,4ec07525-26fc-4ca0-9180-8ecbd1f91844,61.964775085449219,88.587600708007812,85.215118408203125,-122.3887090000,47.6962387900
TRE-1103331,,,,,TRE-1103331,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,73f37701-9aea-47bd-9e4d-b669b3579c60,61.964775085449219,88.587600708007812,85.215118408203125,-122.3887100000,47.6962857400
TRE-1103332,,,,,TRE-1103332,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,60e41af0-3af8-4575-867f-d1e7d1d6ea8d,61.964775085449219,88.587600708007812,85.215118408203125,-122.3887110000,47.6962647800
TRE-1103334,,,,,TRE-1103334,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,59c7444a-8d9b-400c-927c-74e8d7cdc23e,61.914787292480469,88.593292236328125,85.153091430664062,-122.3887160000,47.6963268100
TRE-1103335,,,,,TRE-1103335,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,5775900b-057c-4aa5-83cf-a7cc84c728f6,61.914787292480469,88.593292236328125,85.153091430664062,-122.3887130000,47.6963102600
TRE-1103353,,,,,TRE-1103353,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Private,9257 24TH AVE NW,844946da-6060-4c44-8e53-2d6157cba3d1,62.519809722900391,88.270080566406250,85.596832275390625,-122.3877860000,47.6978216200
TRE-1103355,,,,,TRE-1103355,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"65",Private,9256 25TH AVE NW,ab1af644-174a-4e72-8176-80efae24bd26,62.155586242675781,87.807380676269531,85.061416625976562,-122.3882400000,47.6978199400
TRE-1103359,,,,,TRE-1103359,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"75",Private,2505 NW 95TH ST,e03a1e75-ba92-4f90-b357-b3809d596dbd,61.931961059570312,88.315780639648438,84.828186035156250,-122.3889360000,47.6978246100
TRE-1103368,,,,,TRE-1103368,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"21",Private,9501 24TH AVE NW,4d5bf269-16be-4b99-be22-85ab0a57fcf0,61.952617645263672,88.014961242675781,85.058807373046875,-122.3882990000,47.6981446400
TRE-1103389,,,,,TRE-1103389,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2612 NW 95TH ST,6771cd0b-ba4d-4f31-87d7-7833cb00176c,62.070121765136719,88.554496765136719,84.765838623046875,-122.3905950000,47.6979347400
TRE-1103390,,,,,TRE-1103390,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,2612 NW 95TH ST,f0e453e6-16b9-4ae1-a68a-aa3aa45e8590,62.105445861816406,88.505195617675781,84.720207214355469,-122.3905450000,47.6979358700
TRE-1103391,,,,,TRE-1103391,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2612 NW 95TH ST,b678dbaa-872c-4e3b-b673-c291ed5b3d30,62.070121765136719,88.554496765136719,84.765838623046875,-122.3906320000,47.6979322900
TRE-1103425,,,,,TRE-1103425,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"13",Private,2518 NW 95TH ST,f13b1b0b-f56c-4d37-9349-9d364c5a5e81,61.830429077148438,88.422744750976562,84.711044311523438,-122.3896200000,47.6980063500
TRE-1103427,,,,,TRE-1103427,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,2515 NW 95TH ST,bbc1eaa2-aae2-4956-978a-4fa03b250d9b,61.867824554443359,88.345909118652330,84.766204833984375,-122.3895730000,47.6978135400
