field_1,id,latitude,longitude,place_town_name,place_county_name,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
122,68516263,49.1191833333,-123.987695,,Nanaimo,,,,,,,,,,,,
123,68522616,49.3299179075,-122.9988174436,,Greater Vancouver,,,,,,,,,,,,
124,68522813,49.3309783933,-122.9989929197,,Greater Vancouver,,,,,,,,,,,,
125,68523103,49.3142318725,-122.9924468992,,Greater Vancouver,,,,,,,,,,,,
126,68570665,49.13985,-123.9508833333,,Nanaimo,,,,,,,,,,,,
127,68571073,49.1434833333,-123.9441966667,,Nanaimo,,,,,,,,,,,,
128,68579641,49.3167686461,-122.9893341064,,Greater Vancouver,,,,,,,,,,,,
129,68579840,49.3151702881,-122.9834060667,,Greater Vancouver,,,,,,,,,,,,
130,68579958,49.3361167906,-123.1038208006,,Greater Vancouver,,,,,,,,,,,,
132,68580064,49.3348503111,-123.1087951658,,Greater Vancouver,,,,,,,,,,,,
134,68580149,49.3354492186,-123.1105957031,,Greater Vancouver,,,,,,,,,,,,
135,68580268,49.3347854614,-123.1087722778,,Greater Vancouver,,,,,,,,,,,,
136,68615753,48.78845078,-123.25926273,,Capital,,,,,,,,,,,,
137,68615871,48.78860374,-123.25902646,,Capital,,,,,,,,,,,,
138,68622048,49.3167648314,-122.9522476194,,Greater Vancouver,,,,,,,,,,,,
139,68622120,49.3166275022,-122.9518203733,,Greater Vancouver,,,,,,,,,,,,
140,68628574,48.78857688,-123.25877383,,Capital,,,,,,,,,,,,
141,68628652,48.78858687,-123.2584036,,Capital,,,,,,,,,,,,
142,68629089,48.78602822,-123.25561992,,Capital,,,,,,,,,,,,
143,68646417,48.4652533333,-123.3159116667,Oak Bay,Capital,,,,,,,,,,,,
144,68658537,49.2908333333,-123.0491666667,,Greater Vancouver,,,,,,,,,,,,
145,68658762,49.2920875547,-123.0506973264,,Greater Vancouver,,,,,,,,,,,,
146,68658879,49.2918205261,-123.0500946044,,Greater Vancouver,,,,,,,,,,,,
147,68699666,49.3158912658,-123.0074920653,,Greater Vancouver,,,,,,,,,,,,
148,68699838,49.3199043272,-123.0372772217,,Greater Vancouver,,,,,,,,,,,,
149,68699970,49.3182293388,-123.0107101053,,Greater Vancouver,,,,,,,,,,,,
150,68700424,49.3166666667,-123.0105555556,,Greater Vancouver,,,,,,,,,,,,
151,68710615,48.74760947,-123.18361577,,Capital,,,,,,,,,,,,
152,68710668,48.74747218,-123.18347626,,Capital,,,,,,,,,,,,
153,68729584,47.3788803997,-121.9730033,,King,89.8239364624023,55.641056060791,82.3561782836914,,,,,,,,,
154,68730344,47.450698,-122.073259,East Renton Highlands City Limits,King,90.9382019042969,54.4920921325684,81.6272277832031,,,,,,,,,
155,68737226,47.4225318,-122.0737244,,King,90.0175704956055,55.471248626709,80.1387405395508,,,,,,,,,
156,68742200,49.3134727478,-122.9989166258,,Greater Vancouver,,,,,,,,,,,,
157,68742288,49.33297348,-123.0438461303,,Greater Vancouver,,,,,,,,,,,,
158,68742508,49.3332939147,-123.0440216064,,Greater Vancouver,,,,,,,,,,,,
159,68745750,47.6363666667,-122.3068616667,,King,86.908088684082,59.7184219360352,83.2189712524414,,,,,,,,,
160,68746053,47.6358866667,-122.307045,,King,87.4812850952148,59.2989921569824,83.4623184204102,,,,,,,,,
161,68769712,47.6368033333,-122.3067633333,,King,85.8061370849609,60.1297760009766,83.0592880249023,,,,,,,,,
162,68770643,47.6346133333,-122.3060833333,,King,88.7249069213867,59.5014991760254,83.7581024169922,,,,,,,,,
163,68782040,49.13295,-123.95398,,Nanaimo,,,,,,,,,,,,
164,68782322,49.1394778333,-123.9482416667,,Nanaimo,,,,,,,,,,,,
165,68824430,48.4619973456,-123.3271415207,"Saanich, British Columbia",Capital,,,,,,,,,,,,
166,68826674,48.4620358716,-123.3270326412,"Saanich, British Columbia",Capital,,,,,,,,,,,,
167,68828161,48.460970658,-123.3274957437,"Saanich, British Columbia",Capital,,,,,,,,,,,,
168,68870055,47.74183872,-122.13816869,,King,89.8714370727539,56.1542434692383,83.8394927978516,,,,,,,,,
169,68887396,49.3236808775,-123.0997695922,,Greater Vancouver,,,,,,,,,,,,
170,68937551,47.619858,-122.293119,,King,88.8393325805664,62.1232566833496,85.2429351806641,,,,,,,,,
171,68982233,49.2102777778,-123.1444444444,,Greater Vancouver,,,,,,,,,,,,
172,68982848,45.4782466667,-122.6722033333,Portland,Multnomah,,,,,,,32.5370140075684,16.8788204193115,29.7098274230957,,,
173,68983264,49.2099342344,-123.14503479,,Greater Vancouver,,,,,,,,,,,,
174,68985916,49.2124328611,-123.1475677489,,Greater Vancouver,,,,,,,,,,,,
175,68986033,49.2130737303,-123.141693115,,Greater Vancouver,,,,,,,,,,,,
176,68987311,49.2078633333,-124.0411528333,,Nanaimo,,,,,,,,,,,,
177,69031450,48.4592050362,-123.3358310346,"Saanich, British Columbia",Capital,,,,,,,,,,,,
